Year,Location,D,G,Gold,Silver,Bronze
2012,Log-Dragomer 21 - 22 April 2012,B,W,Mina Markovic 4t8 4b7,Shauna Coxsey 2t2 4b4,Anna Stöhr 2t3 4b4
2012,Vienna 27 - 28 April 2012,B,M,Rustam Gelmanov 4t7 4b4,Dmitrii Sharafutdinov 3t4 4b4,Kilian Fischhuber 3t5 4b4
2012,Vienna 27 - 28 April 2012,B,W,Akiyo Noguchi 4t6 4b4,Mina Markovic 3t5 4b4,Alex Puccio 2t2 3b4
2012,Innsbruck 18 - 19 May 2012,B,M,Kilian Fischhuber 2t5 4b8,Rustam Gelmanov 1t1 3b4,Sean McColl 0t 4b4
2012,Innsbruck 18 - 19 May 2012,B,W,Anna Stöhr 4t7 4b6,Shauna Coxsey 4t8 4b7,Melissa Le Neve 3t4 3b4
2012,Vail 1 - 2 June 2012,B,M,Kilian Fischhuber 4t7 4b7,Sean McColl 4t9 4b9,Jan Hojer 3t3 3b3
2012,Vail 1 - 2 June 2012,B,W,Anna Stöhr 4t14 4b11,Shauna Coxsey 3t4 4b5,Juliane Wurm 3t4 3b3
2012,Munich 25 - 26 August 2012,B,M,Dmitrii Sharafutdinov 4t10 4b9,Sean McColl 4t10 4b10,Jakob Schubert 3t10 4b17
2012,Munich 25 - 26 August 2012,B,W,Akiyo Noguchi 4t4 4b4,Anna Stöhr 4t5 4b5,Juliane Wurm 4t6 4b5
2013,Chongqing 22–23 March 2013,B,M,Dmitrii Sharafutdinov 4t9 4b9,Jakob Schubert 3t5 3b5,Tsukuru Hori 3t6 3b6
2013,Chongqing 22–23 March 2013,B,W,Anna Stöhr 3t5 4b6,Momoka Oda 2t3 3b3,Alex Puccio 2t3 3b4
2013,Millau 5–6 April 2013,B,M,Kilian Fischhuber 3t9 3b5,Guillaume Glairon Mondet 1t1 4b10,Jorg Verhoeven 1t1 3b4
2013,Millau 5–6 April 2013,B,W,Anna Stöhr 4t13 4b13,Shauna Coxsey 4t14 4b13,Akiyo Noguchi 3t7 4b9
2013,Kitzbühel 26–27 April 2013,B,M,Jakob Schubert 2t7 4b9,Guillaume Glairon Mondet 1t2 2b2,Dmitrii Sharafutdinov 1t3 3b3
2013,Kitzbühel 26–27 April 2013,B,W,Anna Stöhr 4t4 4b4,Akiyo Noguchi 4t4 4b4,Alex Puccio 4t6 4b6
2013,Log-Dragomer 11–12 May 2013,B,M,Sean McColl 3t5 4b9,Jan Hojer 2t8 3b9,Dmitrii Sharafutdinov 2t10 3b8
2013,Log-Dragomer 11–12 May 2013,B,W,Anna Stöhr 3t6 4b5,Melissa Le Neve 3t6 4b7,Shauna Coxsey 2t3 4b4
2013,Innsbruck 17–18 May 2013,B,M,Jan Hojer 4t6 4b6,Dmitrii Sharafutdinov 4t7 4b7,Kilian Fischhuber 3t3 3b3
2013,Innsbruck 17–18 May 2013,B,W,Juliane Wurm 4t5 4b4,Anna Stöhr 4t6 4b5,Akiyo Noguchi 3t9 4b10
2013,Toronto 1–2 June 2013,B,M,Kilian Fischhuber 3t5 4b5,Jorg Verhoeven 3t5 3b5,Jakob Schubert 2t2 3b4
2013,Toronto 1–2 June 2013,B,W,Anna Stöhr 4t10 4b10,Akiyo Noguchi 3t4 4b5,Alex Puccio 3t5 4b4
2013,Vail 7–8 June 2013,B,M,Dmitrii Sharafutdinov 3t5 4b6,Rustam Gelmanov 3t7 4b5,Jorg Verhoeven 1t1 3b3
2013,Vail 7–8 June 2013,B,W,Anna Stöhr 4t9 4b7,Akiyo Noguchi 4t9 4b9,Alex Puccio 4t9 4b9
2013,Munich 24–25 August 2013,B,M,Rei Sugimoto 3t11 3b8,Thomas Tauporn 2t4 2b4,Rustam Gelmanov 2t5 3b6
2013,Munich 24–25 August 2013,B,W,Anna Stöhr 4t9 4b7,Alex Puccio 3t5 4b5,Shauna Coxsey 2t5 3b6
2014,Chongqing 26 - 27 April,B,M,Jan Hojer 4t26 4b24,Dmitrii Sharafutdinov 3t5 3b5,Jorg Verhoeven 2t9 2b9
2014,Chongqing 26 - 27 April,B,W,Juliane Wurm 3t6 3b6,Shauna Coxsey 3t7 4b10,Akiyo Noguchi 3t12 4b13
2014,Baku 3 - 4 May,B,M,Dmitrii Sharafutdinov 3t3 4b4,Jan Hojer 2t2 4b5,Rustam Gelmanov 2t2 3b3
2014,Baku 3 - 4 May,B,W,Anna Stöhr 4t4 4b4,Akiyo Noguchi 4t5 4b4,Shauna Coxsey 4t5 4b5
2014,Grindelwald 10 - 11 May,B,M,Jan Hojer 3t7 3b7,Dmitrii Sharafutdinov 3t10 4b14,Kilian Fischhuber 2t7 2b7
2014,Grindelwald 10 - 11 May,B,W,Shauna Coxsey 4t10 4b10,Anna Stöhr 4t12 4b8,Juliane Wurm 3t11 3b7
